# frequency  PSD
3.380341880341880545e-01 6.353760853838948968e-15
3.381196581196581064e-01 6.360546789295544224e-15
3.382051282051282137e-01 6.384182719212430301e-15
3.382905982905982656e-01 6.439364524211213791e-15
3.383760683760683730e-01 6.440469252819287552e-15
3.384615384615384803e-01 6.453751566106183473e-15
3.385470085470085322e-01 6.477214035526258827e-15
3.386324786324786396e-01 6.486093500125950134e-15
3.387179487179486914e-01 6.494013986600340878e-15
3.388034188034187988e-01 6.500246539598464768e-15
3.388888888888889062e-01 6.511884445360092529e-15
3.389743589743589580e-01 6.526735938946923516e-15
3.390598290598290654e-01 6.535835003219469378e-15
3.391452991452991172e-01 6.540931403720129301e-15
3.392307692307692246e-01 6.545797609559025594e-15
3.393162393162393320e-01 6.556860577535255878e-15
3.394017094017093839e-01 6.560783825823866793e-15
3.394871794871794912e-01 6.573338172529032813e-15
3.395726495726495986e-01 6.585621951211417755e-15
3.396581196581196505e-01 6.590294850073755300e-15
3.397435897435897578e-01 6.596673497688740222e-15
3.398290598290598097e-01 6.615059829323867203e-15
3.399145299145299171e-01 6.642982627717853840e-15
3.400000000000000244e-01 6.669064478989694325e-15
3.400854700854700763e-01 6.684760512942915902e-15
3.401709401709401837e-01 6.697378720566577465e-15
3.402564102564102355e-01 6.708024810375894203e-15
3.403418803418803429e-01 6.710504904766957458e-15
3.404273504273504503e-01 6.726741539837969393e-15
3.405128205128205021e-01 6.740972565245259116e-15
3.405982905982906095e-01 6.763626941097075544e-15
3.406837606837606613e-01 6.777397997271290300e-15
3.407692307692307687e-01 6.784960428130757436e-15
3.408547008547008761e-01 6.788101248283527586e-15
3.409401709401709279e-01 6.791914086518407764e-15
3.410256410256410353e-01 6.791914086518407764e-15
3.411111111111110872e-01 6.813253865449334500e-15
3.411965811965811946e-01 6.813995752731903276e-15
3.412820512820513019e-01 6.834662178795110531e-15
3.413675213675213538e-01 6.843490773029246542e-15
3.414529914529914612e-01 6.884584702950621688e-15
3.415384615384615130e-01 6.887049578891430175e-15
3.416239316239316204e-01 6.923771419618547723e-15
3.417094017094017278e-01 6.926526673693198238e-15
3.417948717948717796e-01 6.978241846459684585e-15
3.418803418803418870e-01 7.007327456917103063e-15
3.419658119658119388e-01 7.025587954362389184e-15
3.420512820512820462e-01 7.039414477608484268e-15
3.421367521367521536e-01 7.094253847828424244e-15
3.422222222222222054e-01 7.094253847828424244e-15
3.423076923076923128e-01 7.132880066884637653e-15
3.423931623931624202e-01 7.159950879296445484e-15
3.424786324786324720e-01 7.164292102306873756e-15
3.425641025641025794e-01 7.202832112253673006e-15
3.426495726495726313e-01 7.204205408272772096e-15
3.427350427350427386e-01 7.214640851500718602e-15
3.428205128205128460e-01 7.235742011898407125e-15
3.429059829059828979e-01 7.267438518019648992e-15
3.429914529914530053e-01 7.296240288515339673e-15
3.430769230769230571e-01 7.303436574734841794e-15
3.431623931623931645e-01 7.330610515343594796e-15
3.432478632478632719e-01 7.332753533291855066e-15
3.433333333333333237e-01 7.334704352500001827e-15
3.434188034188034311e-01 7.334930403651524500e-15
3.435042735042734829e-01 7.355461955463187822e-15
3.435897435897435903e-01 7.369913936303228155e-15
3.436752136752136977e-01 7.427297504353744112e-15
3.437606837606837495e-01 7.438448061479306246e-15
3.438461538461538569e-01 7.449394082969502201e-15
3.439316239316239088e-01 7.483703342591935716e-15
3.440170940170940161e-01 7.491789376620274857e-15
3.441025641025641235e-01 7.514655089574208198e-15
3.441880341880341754e-01 7.517625611409775538e-15
3.442735042735042827e-01 7.539194370638357431e-15
3.443589743589743346e-01 7.547620978588785412e-15
3.444444444444444420e-01 7.590747910143740040e-15
3.445299145299145493e-01 7.665097286126910234e-15
3.446153846153846012e-01 7.667401814830136532e-15
3.447008547008547086e-01 7.685437410509537265e-15
3.447863247863247604e-01 7.696829463829109707e-15
3.448717948717948678e-01 7.705151515642075096e-15
3.449572649572649752e-01 7.728932427797940835e-15
3.450427350427350270e-01 7.733378274406076647e-15
3.451282051282051344e-01 7.739932366636164467e-15
3.452136752136751863e-01 7.762166761253622509e-15
3.452991452991452936e-01 7.772363818934753833e-15
3.453846153846154010e-01 7.781373138895217551e-15
3.454700854700854529e-01 7.782544712904534166e-15
3.455555555555555602e-01 7.907033557093350852e-15
3.456410256410256676e-01 7.934218839134154145e-15
3.457264957264957195e-01 7.942016186017230930e-15
3.458119658119658268e-01 7.948625778994289038e-15
3.458974358974358787e-01 8.001960550845735672e-15
3.459829059829059861e-01 8.003550059972448686e-15
3.460683760683760934e-01 8.036030922130457298e-15
3.461538461538461453e-01 8.063690783978645755e-15
3.462393162393162527e-01 8.067851874554811078e-15
3.463247863247863045e-01 8.082783165509075794e-15
3.464102564102564119e-01 8.110311441042167671e-15
3.464957264957265193e-01 8.199170870412061604e-15
3.465811965811965711e-01 8.208321097693294815e-15
3.466666666666666785e-01 8.222152435638518272e-15
3.467521367521367304e-01 8.227803512492020537e-15
3.468376068376068377e-01 8.234200043678677273e-15
